,n_clicks,n_visitas,monto_compras,monto_descuentos,dias_primera_compra,info_perfil
0,198.0,44.0,3393.0,67.0,241.0,235.0
1,303.0,74.0,3026.3,90.4,193.0,246.0
2,267.0,60.0,3490.2,80.5,111.0,220.0
3,177.0,85.0,3525.1,92.7,142.0,200.0
4,224.0,73.0,2980.9,72.6,227.0,109.0
5,336.0,42.0,2258.8,84.1,152.0,164.0
6,130.0,44.0,3245.6,96.7,183.0,151.0
7,231.0,63.0,3194.5,89.8,250.0,194.0
8,317.0,77.0,3609.7,110.8,206.0,283.0
9,209.0,87.0,3205.0,65.0,299.0,211.0
10,218.0,87.0,2351.9,73.4,219.0,194.0
11,248.0,98.0,3891.3,95.6,195.0,237.0
12,328.0,67.0,2697.4,67.6,235.0,172.0
13,220.0,70.0,2439.0,67.1,191.0,161.0
14,230.0,80.0,1958.1,101.3,187.0,199.0
15,231.0,59.0,4196.2,67.7,180.0,181.0
16,365.0,90.0,3001.2,97.6,197.0,138.0
17,364.0,50.0,3206.4,70.1,213.0,173.0
18,304.0,41.0,2544.9,84.9,225.0,163.0
19,272.0,51.0,3222.1,84.3,127.0,193.0
20,290.0,99.0,3033.8,75.7,156.0,230.0
21,328.0,66.0,3077.9,106.9,197.0,151.0
22,205.0,101.0,3307.3,104.4,183.0,200.0
23,312.0,78.0,3162.7,70.7,263.0,214.0
24,189.0,77.0,3707.9,76.9,212.0,178.0
25,221.0,73.0,3043.3,71.8,213.0,157.0
26,299.0,56.0,2967.1,76.4,164.0,167.0
27,180.0,42.0,3011.2,81.7,306.0,189.0
28,246.0,73.0,3676.9,85.8,208.0,196.0
29,209.0,78.0,2556.0,79.7,176.0,195.0
30,240.0,90.0,3138.0,53.1,194.0,154.0
31,111.0,83.0,4284.2,90.8,198.0,107.0
32,163.0,71.0,4282.4,82.0,217.0,235.0
33,217.0,77.0,3256.8,95.7,248.0,192.0
34,300.0,67.0,3074.8,91.9,162.0,222.0
35,244.0,55.0,2724.5,47.3,221.0,277.0
36,253.0,77.0,3744.0,78.0,224.0,289.0
37,288.0,67.0,3452.2,62.8,252.0,192.0
38,208.0,66.0,3185.5,87.7,179.0,211.0
39,267.0,61.0,3814.2,50.4,197.0,169.0
40,212.0,72.0,3191.5,87.5,222.0,220.0
41,165.0,61.0,3206.9,94.8,205.0,197.0
42,233.0,73.0,2200.3,98.9,229.0,211.0
43,282.0,75.0,3571.1,71.9,224.0,184.0
44,270.0,62.0,3364.3,62.5,237.0,212.0
45,252.0,75.0,2228.3,70.8,203.0,206.0
46,374.0,79.0,2710.7,73.4,187.0,159.0
47,274.0,73.0,3872.9,70.8,204.0,218.0
48,302.0,89.0,3078.5,83.5,176.0,130.0
49,366.0,67.0,2942.5,79.0,247.0,179.0
50,187.0,64.0,3967.6,103.8,209.0,210.0
51,200.0,73.0,3692.7,74.2,278.0,211.0
52,341.0,50.0,3731.2,76.7,208.0,176.0
53,212.0,57.0,3880.6,131.7,220.0,190.0
54,254.0,81.0,2568.9,64.3,213.0,212.0
55,307.0,52.0,3368.3,93.3,119.0,192.0
56,298.0,86.0,3286.0,70.7,101.0,158.0
57,342.0,88.0,3750.1,63.4,215.0,183.0
58,329.0,84.0,2985.9,94.6,263.0,229.0
59,307.0,70.0,4081.3,69.7,275.0,160.0
60,214.0,49.0,3817.7,91.6,251.0,130.0
61,293.0,66.0,2661.1,51.8,188.0,198.0
62,269.0,65.0,2726.7,74.2,143.0,198.0
63,186.0,85.0,4160.1,111.9,138.0,156.0
64,325.0,70.0,3077.6,96.5,198.0,121.0
65,294.0,62.0,3113.0,102.8,162.0,151.0
66,255.0,98.0,3252.9,76.2,218.0,233.0
67,241.0,54.0,3715.5,101.6,188.0,162.0
68,192.0,57.0,2681.3,80.0,173.0,207.0
69,263.0,58.0,3652.4,79.0,251.0,194.0
70,277.0,55.0,2891.9,83.1,191.0,200.0
71,211.0,57.0,3525.1,53.3,211.0,145.0
72,312.0,60.0,3179.7,69.6,262.0,149.0
73,197.0,76.0,2231.6,91.3,189.0,165.0
74,145.0,81.0,3455.8,100.3,97.0,177.0
75,305.0,69.0,2575.6,92.9,210.0,150.0
76,232.0,42.0,3063.0,73.1,184.0,243.0
77,246.0,72.0,3131.8,69.0,177.0,265.0
78,210.0,58.0,2600.2,89.3,188.0,252.0
79,171.0,72.0,2943.1,96.8,258.0,226.0
80,316.0,80.0,2371.4,104.2,204.0,242.0
81,218.0,70.0,3465.6,70.9,192.0,228.0
